Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
akino-aot,AKINO AOT Oversized Tee,<p>AKINO AOT Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-aot-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786551982/akino/ready/akino-aot-1.png,1,AKINO AOT Oversized Tee,active
akino-aot,,,,,,,,Dark Ash - 180 GSM,akino-aot-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-aot,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786551986/akino/ready/akino-aot-2.png,2,AKINO AOT Oversized Tee,
akino-aot,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786551988/akino/ready/akino-aot-3.png,3,AKINO AOT Oversized Tee,
akino-chaos,AKINO Chaos Oversized Tee,<p>AKINO Chaos Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-chaos-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786551990/akino/ready/akino-chaos-1.png,1,AKINO Chaos Oversized Tee,active
akino-chaos,,,,,,,,Dark Ash - 180 GSM,akino-chaos-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-chaos,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786551992/akino/ready/akino-chaos-2.png,2,AKINO Chaos Oversized Tee,
akino-chaos,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786551995/akino/ready/akino-chaos-3.png,3,AKINO Chaos Oversized Tee,
akino-chaos,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786551996/akino/ready/akino-chaos-4.png,4,AKINO Chaos Oversized Tee,
akino-chapter-4,AKINO Chapter 4 Oversized Tee,<p>AKINO Chapter 4 Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-chapter-4-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786551998/akino/ready/akino-chapter-4-1.png,1,AKINO Chapter 4 Oversized Tee,active
akino-chapter-4,,,,,,,,Dark Ash - 180 GSM,akino-chapter-4-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-chapter-4,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552000/akino/ready/akino-chapter-4-2.png,2,AKINO Chapter 4 Oversized Tee,
akino-chapter-4,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552002/akino/ready/akino-chapter-4-3.png,3,AKINO Chapter 4 Oversized Tee,
akino-cradlifs,AKINO Cradlifs Oversized Tee,<p>AKINO Cradlifs Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-cradlifs-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552004/akino/ready/akino-cradlifs-1.png,1,AKINO Cradlifs Oversized Tee,active
akino-cradlifs,,,,,,,,Dark Ash - 180 GSM,akino-cradlifs-2,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-cradlifs,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552006/akino/ready/akino-cradlifs-2.png,2,AKINO Cradlifs Oversized Tee,
akino-cradlifs,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786552007/akino/ready/akino-cradlifs-3.png,3,AKINO Cradlifs Oversized Tee,
akino-dhaka-cult,AKINO Dhaka Cult Oversized Tee,<p>AKINO Dhaka Cult Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Oversized drop-shoulder fit</li></ul>,AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,akino-dhaka-cult-1,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786552010/akino/ready/akino-dhaka-cult-1.png,1,AKINO Dhaka Cult Oversized Tee,active
