Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
akino-aot,AKINO AOT Oversized Tee,"<p>AKINO AOT Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Sizes: Black (M, XL) · Dark Ash (M, L, XL)</li><li>Oversized drop-shoulder fit</li></ul>",AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,Size,M,akino-aot-blk-m,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786551982/akino/ready/akino-aot-1.png,1,AKINO AOT Oversized Tee,active
akino-aot,,,,,,,,Black - 220 GSM,,XL,akino-aot-blk-xl,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-aot,,,,,,,,Dark Ash - 180 GSM,,M,akino-aot-ash-m,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-aot,,,,,,,,Dark Ash - 180 GSM,,L,akino-aot-ash-l,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-aot,,,,,,,,Dark Ash - 180 GSM,,XL,akino-aot-ash-xl,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-aot,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786551986/akino/ready/akino-aot-2.png,2,AKINO AOT Oversized Tee,
akino-aot,,,,,,,,,,,,,,,,,,,https://res.cloudinary.com/hua42kke/image/upload/v1786551988/akino/ready/akino-aot-3.png,3,AKINO AOT Oversized Tee,
akino-chaos,AKINO Chaos Oversized Tee,"<p>AKINO Chaos Oversized Tee</p><ul><li>DTF print</li><li>Color options: Black - 220 GSM / Dark Ash - 180 GSM</li><li>Sizes: Black (M, XL) · Dark Ash (M, L, XL)</li><li>Oversized drop-shoulder fit</li></ul>",AKINO,Drop Shoulder Tee,"dtf,drop-shoulder,streetwear,ready",TRUE,Color,Black - 220 GSM,Size,M,akino-chaos-blk-m,shopify,10,deny,manual,650.00,TRUE,TRUE,https://res.cloudinary.com/hua42kke/image/upload/v1786551990/akino/ready/akino-chaos-1.png,1,AKINO Chaos Oversized Tee,active
akino-chaos,,,,,,,,Black - 220 GSM,,XL,akino-chaos-blk-xl,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
akino-chaos,,,,,,,,Dark Ash - 180 GSM,,M,akino-chaos-ash-m,shopify,10,deny,manual,650.00,TRUE,TRUE,,,,
